element,kickoff_time,fixture,opponent_team,total_points,was_home,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,opponent,opponent_short,position_short,team,team_short,first_name,last_name,web_name,selected_by_percent,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,chance_playing_tr,chance_playing_nx,news,form,round_points,shots,xG,time,position,date,xA,key_passes,npg,npxG,xGChain,xGBuildup,player_id,code
254,2020-12-19,132,6,16,False,0.0,7.0,14,33,2,1,0,0,0,0,0,0,0,0,2,52,86.6,14.2,26.0,12.7,12.4,264071,2925498,280489,16418,Crystal Palace,CRY,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,2,0.3620800971984863,31,Sub,2020-12-19,0.2817293107509613,1,2,0.3620800971984863,0.8520671725273132,0.5408951044082642,1250.0,118748
254,2020-12-27,144,18,2,True,1.0,1.0,15,90,0,0,0,1,0,0,0,0,0,0,0,6,0.0,21.0,33.0,5.3,12.6,508149,3477161,520607,12458,West Brom,WBA,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,3,0.190787062048912,90,FWR,2020-12-27,0.0217029768973588,1,0,0.190787062048912,0.2709965109825134,0.1838793903589248,1250.0,118748
254,2020-12-30,155,14,3,False,0.0,0.0,16,90,0,0,1,0,0,0,0,0,0,0,0,-5,1.6,3.9,27.0,3.3,12.6,79807,3544294,108826,29019,Newcastle,NEW,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,2,0.6354414224624634,90,FWR,2020-12-30,0.0,0,0,0.6354414224624634,0.6354414224624634,0.2971617579460144,1250.0,118748
254,2021-01-04,166,16,2,False,1.0,0.0,17,90,0,0,0,1,0,0,0,0,0,0,0,-1,4.2,17.1,24.0,4.5,12.6,12437,3563431,87003,74566,Southampton,SOU,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,2,0.3883272409439087,90,FWR,2021-01-04,0.0577041953802108,1,0,0.3883272409439087,0.8208017945289612,0.3747703433036804,1250.0,118748
254,2021-01-17,184,13,3,True,0.0,0.0,19,90,0,0,1,0,0,0,0,0,0,0,0,6,7.2,28.4,45.0,8.1,12.5,89606,3168283,195898,106292,Man Utd,MUN,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,3,0.1729310452938079,90,FWR,2021-01-17,0.1523466855287552,2,0,0.1729310452938079,0.393395721912384,0.0681179985404014,1250.0,118748
254,2021-01-21,177,4,1,True,0.0,1.0,19,33,0,0,0,1,0,0,0,0,0,0,0,2,5.8,14.6,47.0,6.7,12.5,89606,3168283,195898,106292,Burnley,BUR,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,2,0.1621324121952057,32,Sub,2021-01-21,0.1015996038913726,1,0,0.1621324121952057,0.2959044873714447,0.0321724638342857,1250.0,118748
254,2021-01-28,198,17,2,False,1.0,3.0,20,90,0,0,0,1,0,0,0,0,0,0,0,12,5.0,28.8,22.0,5.6,12.5,-142302,2966969,130312,272614,Spurs,TOT,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,1,0.1303782761096954,90,FWR,2021-01-28,0.4068318009376526,2,0,0.1303782761096954,0.903132975101471,0.7099316120147705,1250.0,118748
254,2021-01-31,208,19,15,False,1.0,3.0,21,90,2,0,0,1,0,0,0,0,0,0,3,47,75.0,18.1,83.0,17.6,12.5,45974,3022589,146599,100625,West Ham,WHU,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,7,0.8132746815681458,90,FW,2021-01-31,0.0566926077008247,1,2,0.8132746815681458,1.4580192565917969,0.6447445750236511,1250.0,118748
254,2021-02-03,216,3,2,True,0.0,1.0,22,90,0,0,0,1,0,0,0,0,0,0,0,0,0.0,15.6,38.0,5.4,12.6,610263,3650389,620430,10167,Brighton,BHA,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,4,0.802040159702301,90,FWR,2021-02-03,0.0,0,0,0.802040159702301,0.802040159702301,0.0,1250.0,118748
254,2021-02-07,223,12,7,True,1.0,4.0,23,90,1,0,0,4,0,0,0,0,0,0,0,28,34.8,4.2,31.0,7.0,12.7,-96151,3553316,93024,189175,Man City,MCI,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,2,0.7978586554527283,90,FWR,2021-02-07,0.0,0,0,0.0366897918283939,0.0366897918283939,0.0,1250.0,118748
