element,round,value
1,1,70
2,1,50
3,1,55
4,1,120
5,1,50
6,1,85
7,1,50
8,1,50
9,1,55
10,1,45
11,1,50
13,1,45
14,1,50
16,1,45
17,1,55
18,1,80
19,1,50
21,1,55
22,1,60
23,1,45
24,1,55
25,1,50
26,1,50
27,1,45
70,1,45
478,1,80
494,1,50
501,1,50
526,1,45
527,1,40
106,1,60
53,1,50
54,1,65
57,1,60
58,1,45
59,1,50
60,1,50
61,1,45
62,1,50
63,1,45
64,1,50
65,1,50
66,1,45
67,1,45
68,1,65
69,1,60
71,1,55
72,1,55
73,1,45
74,1,45
75,1,40
76,1,45
77,1,45
78,1,55
79,1,45
80,1,55
503,1,40
528,1,40
55,1,45
101,1,50
102,1,60
103,1,70
104,1,60
105,1,50
107,1,55
109,1,50
110,1,50
111,1,50
112,1,50
113,1,50
114,1,80
116,1,50
117,1,95
118,1,75
119,1,85
120,1,70
121,1,50
122,1,60
123,1,50
124,1,45
232,1,55
490,1,55
500,1,85
108,1,60
125,1,45
126,1,45
127,1,45
128,1,50
129,1,45
130,1,55
131,1,45
132,1,55
133,1,50
134,1,45
135,1,45
136,1,45
137,1,60
138,1,60
139,1,55
140,1,60
141,1,70
142,1,55
143,1,50
144,1,45
145,1,40
146,1,40
147,1,45
486,1,45
489,1,60
522,1,40
149,1,50
150,1,70
151,1,45
152,1,50
153,1,60
154,1,60
155,1,60
156,1,50
157,1,50
158,1,55
159,1,60
160,1,45
161,1,50
162,1,55
163,1,55
164,1,70
165,1,50
166,1,80
167,1,45
168,1,45
169,1,60
170,1,40
502,1,55
508,1,75
512,1,55
115,1,60
171,1,40
172,1,50
173,1,45
174,1,50
175,1,55
176,1,45
177,1,55
178,1,45
179,1,45
180,1,50
181,1,55
182,1,50
183,1,45
184,1,60
185,1,45
186,1,45
187,1,55
188,1,50
189,1,50
190,1,50
191,1,45
192,1,45
373,1,45
484,1,45
493,1,45
516,1,45
517,1,45
525,1,45
216,1,45
217,1,55
218,1,45
219,1,55
220,1,45
221,1,55
222,1,45
223,1,45
224,1,100
225,1,55
226,1,60
227,1,40
228,1,65
229,1,65
230,1,55
231,1,70
233,1,60
234,1,50
235,1,70
236,1,50
237,1,45
238,1,55
239,1,45
240,1,45
498,1,55
518,1,45
193,1,60
194,1,45
195,1,45
196,1,40
197,1,45
198,1,55
199,1,50
200,1,45
201,1,45
202,1,55
203,1,55
204,1,50
205,1,55
206,1,50
207,1,50
208,1,40
209,1,45
210,1,50
211,1,40
212,1,45
213,1,45
214,1,40
215,1,40
491,1,45
492,1,60
241,1,55
242,1,50
243,1,55
244,1,55
245,1,45
246,1,55
247,1,65
248,1,65
249,1,95
250,1,65
251,1,120
252,1,60
253,1,55
254,1,120
255,1,70
256,1,55
257,1,55
259,1,75
260,1,55
261,1,55
263,1,45
264,1,40
265,1,45
468,1,65
20,1,50
320,1,55
321,1,55
322,1,50
323,1,50
324,1,45
325,1,50
326,1,50
327,1,45
328,1,45
329,1,60
330,1,55
331,1,45
332,1,45
333,1,45
334,1,50
335,1,45
336,1,50
337,1,50
338,1,55
339,1,60
340,1,60
341,1,50
342,1,40
480,1,50
485,1,50
487,1,50
488,1,45
497,1,50
506,1,65
507,1,60
513,1,45
262,1,45
343,1,60
344,1,55
345,1,50
346,1,60
347,1,55
348,1,45
349,1,50
350,1,45
351,1,55
352,1,45
353,1,50
354,1,50
355,1,55
356,1,50
357,1,60
359,1,60
360,1,50
424,1,45
477,1,50
483,1,50
509,1,45
510,1,45
511,1,45
529,1,40
148,1,60
258,1,65
361,1,55
362,1,50
363,1,45
364,1,45
365,1,65
366,1,85
367,1,50
368,1,55
369,1,45
370,1,60
371,1,45
372,1,55
374,1,45
375,1,45
376,1,45
377,1,60
378,1,50
379,1,45
380,1,40
381,1,50
382,1,55
479,1,45
523,1,40
524,1,45
383,1,55
384,1,50
385,1,50
386,1,55
387,1,60
388,1,105
389,1,55
390,1,90
391,1,50
392,1,70
393,1,45
394,1,80
395,1,50
396,1,50
397,1,55
398,1,55
399,1,50
400,1,75
401,1,50
402,1,50
403,1,70
404,1,45
405,1,60
406,1,45
457,1,60
482,1,45
521,1,40
15,1,50
56,1,40
358,1,55
407,1,45
408,1,55
409,1,50
410,1,55
411,1,55
412,1,45
413,1,50
414,1,45
415,1,55
416,1,50
417,1,45
418,1,45
419,1,50
420,1,45
421,1,50
422,1,45
423,1,50
425,1,45
426,1,45
428,1,60
446,1,55
481,1,60
499,1,45
427,1,50
429,1,40
430,1,45
431,1,50
432,1,50
433,1,45
434,1,50
435,1,50
436,1,60
437,1,65
438,1,45
439,1,65
440,1,65
441,1,65
442,1,45
443,1,45
444,1,55
445,1,65
447,1,55
448,1,50
449,1,50
450,1,65
451,1,45
452,1,40
453,1,45
454,1,55
455,1,55
456,1,45
458,1,55
459,1,50
460,1,85
461,1,50
462,1,55
463,1,50
464,1,50
465,1,65
466,1,55
467,1,40
469,1,55
470,1,40
471,1,45
472,1,45
473,1,50
474,1,55
475,1,45
476,1,50
504,1,55
505,1,50
515,1,50
