id,code,web_name,chance_of_playing_next_round,now_cost,position
122,209046,Hudson-Odoi,100.0,57,MID
123,225796,James,100.0,50,DEF
124,243568,Gilmour,100.0,44,MID
232,172850,Chilwell,100.0,58,DEF
490,51090,Thiago Silva,50.0,56,DEF
500,219847,Havertz,100.0,82,MID
548,228286,Mendy,100.0,51,GKP
593,431019,Ziger,100.0,40,GKP
605,223332,Anjorin,100.0,45,MID
108,94245,Batshuayi,100.0,57,FWD
125,19419,Cahill,100.0,45,DEF
126,20066,Hennessey,75.0,43,GKP
127,40784,Sakho,0.0,44,DEF
128,40836,Guaita,100.0,48,GKP
129,49413,Tomkins,0.0,44,DEF
130,50471,McArthur,0.0,52,MID
131,50472,McCarthy,0.0,43,MID
132,54861,Benteke,100.0,55,FWD
133,55037,Kouyaté,100.0,48,MID
134,55494,Ward,100.0,43,DEF
135,58786,Kelly,100.0,41,DEF
136,59125,Wickham,100.0,44,FWD
137,60252,Townsend,100.0,55,MID
138,66975,Milivojevic,100.0,56,MID
139,74230,van Aanholt,100.0,54,DEF
140,80146,Ayew,100.0,56,FWD
141,82403,Zaha,100.0,71,MID
142,86417,Schlupp,100.0,53,MID
143,141020,Meyer,0.0,47,MID
144,173954,Riedewald,100.0,44,MID
145,232423,Ferguson,0.0,38,DEF
146,244723,Mitchell,0.0,38,DEF
147,466955,Pierrick,0.0,43,MID
486,19188,Dann,100.0,43,DEF
489,232413,Eze,100.0,58,MID
522,221272,Woods,0.0,40,DEF
534,114536,Inniss,0.0,40,DEF
577,57328,Clyne,0.0,45,DEF
578,42525,Henderson,100.0,40,GKP
586,105666,Butland,100.0,45,GKP
641,231747,Mateta,100.0,58,FWD
675,223824,Hannam,100.0,40,DEF
149,41823,Delph,25.0,48,MID
150,55422,Sigurdsson,100.0,68,MID
151,57513,Lössl,0.0,43,GKP
152,59949,Coleman,75.0,48,DEF
153,66838,Tosun,0.0,60,FWD
154,100649,Bernard,100.0,57,MID
155,101188,Digne,100.0,62,DEF
156,106611,Keane,100.0,51,DEF
157,111234,Pickford,100.0,48,GKP
158,120250,André Gomes,100.0,53,MID
159,153133,Iwobi,100.0,59,MID
160,153673,Kenny,0.0,43,DEF
161,160987,Gbamin,0.0,50,MID
162,164511,Mina,0.0,55,DEF
163,173807,Davies,75.0,52,MID
164,177815,Calvert-Lewin,100.0,78,FWD
165,194164,Holgate,100.0,48,DEF
166,212319,Richarlison,100.0,79,FWD
167,222627,Virgínia,100.0,43,GKP
168,232826,Gordon,0.0,43,MID
169,242058,Kean,0.0,57,FWD
170,480455,Branthwaite,0.0,39,DEF
502,119765,Allan,100.0,52,MID
508,60025,Rodríguez,75.0,77,MID
512,121599,Doucouré,100.0,52,MID
559,495542,Nkounkou,100.0,40,DEF
566,198826,Godfrey,100.0,50,DEF
573,111782,Olsen,75.0,45,GKP
596,218997,Simms,0.0,45,FWD
644,461446,Onyango,100.0,45,MID
651,78007,King,100.0,53,FWD
679,232829,John,100.0,40,DEF
680,173818,Broadhead,100.0,45,MID
681,422612,Astley,100.0,40,DEF
682,447325,Tyrer,100.0,40,GKP
115,126187,Loftus-Cheek,100.0,59,MID
171,40559,Fabri,100.0,39,GKP
172,55038,McDonald,0.0,47,MID
173,61739,Le Marchand,0.0,41,DEF
174,61916,Johansen,0.0,47,MID
175,76357,Cairney,0.0,52,MID
176,82514,Ream,100.0,42,DEF
177,83543,Knockaert,0.0,50,MID
178,84915,Hector,100.0,41,DEF
179,87107,Christie,0.0,42,DEF
180,92259,Kebano,0.0,47,MID
181,96994,Decordova-Reid,100.0,53,FWD
182,101105,Bryan,100.0,46,DEF
183,122074,Bettinelli,0.0,43,GKP
184,128389,Mitrović,100.0,55,FWD
185,149266,Mawson,0.0,43,DEF
186,155529,Rodák,25.0,43,GKP
187,166324,Cavaleiro,100.0,53,MID
188,168765,Onomah,100.0,46,MID
189,170271,Seri,0.0,46,MID
190,197030,Kamara,0.0,48,MID
191,203325,Anguissa,100.0,45,MID
192,208998,Sessegnon,0.0,43,DEF
373,153366,Reed,100.0,44,MID
484,169528,Robinson,100.0,44,DEF
493,151086,Lemina,100.0,45,MID
516,84182,Areola,100.0,45,GKP
517,167074,Tete,100.0,43,DEF
525,72681,Odoi,100.0,42,DEF
557,219352,Lookman,100.0,50,MID
562,159506,Aina,100.0,45,DEF
571,174874,Andersen,100.0,45,DEF
572,109646,Adarabioyo,100.0,45,DEF
585,109434,Kongolo,100.0,43,DEF
665,195480,Maja,100.0,55,FWD
216,15033,Morgan,0.0,44,DEF
217,17745,Schmeichel,100.0,55,GKP
218,37402,Fuchs,100.0,45,DEF
219,37642,Evans,75.0,55,DEF
220,46483,Silva,0.0,44,MID
221,51938,Albrighton,100.0,52,MID
222,61604,James,0.0,43,MID
223,95463,Ward,100.0,43,GKP
224,101668,Vardy,100.0,102,FWD
225,106837,Praet,25.0,52,MID
226,111931,Pereira,100.0,59,DEF
227,155569,Amartey,100.0,39,DEF
228,166989,Tielemans,100.0,64,MID
229,168580,Pérez,75.0,60,MID
230,172632,Gray,0.0,51,MID
231,172780,Maddison,0.0,72,MID
233,173515,Iheanacho,100.0,56,FWD
234,197469,Choudhury,100.0,47,MID
235,201666,Barnes,0.0,68,MID
236,203341,Ndidi,100.0,48,MID
237,213405,Benkovic,0.0,43,DEF
238,218031,Söyüncü,100.0,53,DEF
239,220627,Justin,0.0,49,DEF
240,244619,Thomas,100.0,42,DEF
498,166477,Castagne,100.0,57,DEF
518,86881,Mendy,100.0,42,MID
541,228798,Ünder,25.0,57,MID
561,444463,Fofana,100.0,50,DEF
579,149828,Slimani,0.0,49,FWD
660,232229,Daley-Campbell,100.0,40,DEF
661,232881,Leshabela,100.0,44,MID
676,421796,Tavares,100.0,45,MID
684,447373,Flynn,100.0,45,MID
193,28690,Hernández,100.0,57,MID
194,39790,Casilla,100.0,42,GKP
195,55914,Cooper,100.0,43,DEF
196,57913,Douglas,0.0,38,DEF
197,66588,Ayling,100.0,44,DEF
198,72222,Klich,100.0,52,MID
199,80179,Forshaw,0.0,48,MID
200,87873,Dallas,100.0,50,DEF
201,105377,Alioski,100.0,43,DEF
202,106617,Bamford,100.0,68,FWD
203,221399,Harrison,100.0,54,MID
204,155405,Phillips,50.0,49,MID
205,165808,Costa,100.0,50,MID
206,173821,Roberts,100.0,46,MID
207,204642,Grot,0.0,47,MID
208,214987,Miazek,0.0,40,GKP
209,215460,Poveda-Ocampo,75.0,42,MID
210,221610,Shackleton,50.0,48,MID
211,222694,Struijk,100.0,40,DEF
212,434138,Stevens,0.0,43,MID
213,437495,Meslier,100.0,46,GKP
214,455084,Davis,100.0,39,DEF
215,467114,Casey,100.0,39,DEF
491,193645,Koch,25.0,43,DEF
492,80954,Rodrigo,75.0,57,FWD
532,463912,Caprile,100.0,40,GKP
533,480216,Bogusz,0.0,43,MID
549,149915,Llorente,100.0,44,DEF
570,219961,Raphinha,100.0,55,MID
599,492374,Jenkins,100.0,45,MID
619,492066,Huggins,100.0,45,FWD
620,492373,Cresswell,100.0,40,DEF
667,462635,Gelhardt,100.0,45,FWD
241,15157,Milner,100.0,53,MID
242,214285,Tsimikas,100.0,49,DEF
243,41733,Wijnaldum,100.0,53,MID
244,56979,Henderson,0.0,54,MID
245,60706,Adrián,100.0,42,GKP
246,60914,Matip,0.0,54,DEF
247,68312,Shaqiri,100.0,64,MID
248,81880,Chamberlain,100.0,63,MID
249,92217,Firmino,75.0,92,FWD
250,97032,van Dijk,0.0,62,DEF
251,110979,Mané,100.0,118,MID
252,116535,Alisson,100.0,59,GKP
253,116643,Fabinho,100.0,54,MID
254,118748,Salah,100.0,125,MID
255,122798,Robertson,100.0,72,DEF
256,152760,Origi,100.0,51,FWD
257,153682,Harry Wilson,0.0,51,MID
259,169187,Alexander-Arnold,100.0,74,DEF
260,171287,Gomez,0.0,52,DEF
261,175592,Keita,100.0,52,MID
263,206915,Jones,100.0,44,MID
264,215136,Neco Williams,100.0,38,DEF
265,444884,Elliott,0.0,43,MID
468,194634,Jota,100.0,66,MID
531,61558,Thiago,100.0,56,MID
560,200720,Kelleher,75.0,45,GKP
589,197464,Phillips,100.0,40,DEF
594,219937,Rhys Williams,100.0,40,DEF
601,233489,Clarkson,100.0,45,MID
607,243343,Cain,100.0,45,MID
652,438277,Kabak,50.0,50,DEF
653,152898,Davies,100.0,49,DEF
677,433019,Hughes,100.0,40,GKP
678,490138,Ojrzynski,100.0,40,GKP
266,27789,Fernandinho,100.0,54,DEF
267,33148,Bravo,0.0,45,GKP
268,37572,Agüero,100.0,103,FWD
269,57410,Otamendi,0.0,49,DEF
270,58621,Walker,100.0,61,DEF
271,59859,Gündogan,100.0,62,MID
272,61366,De Bruyne,100.0,118,MID
273,97299,Stones,100.0,53,DEF
274,102826,Mendy,100.0,59,DEF
275,103025,Mahrez,100.0,81,MID
276,103955,Sterling,100.0,116,MID
277,121145,Cancelo,100.0,62,DEF
278,121160,Ederson,100.0,61,GKP
279,126184,Aké,100.0,54,DEF
280,146941,Laporte,100.0,60,DEF
281,165809,Bernardo Silva,100.0,74,MID
282,205651,Jesus,100.0,92,FWD
283,206325,Zinchenko,100.0,55,DEF
284,209244,Foden,100.0,61,MID
285,220394,Doyle,100.0,44,MID
286,220566,Rodrigo,100.0,53,MID
287,224444,Torres,100.0,69,MID
288,432656,Garcia,100.0,47,DEF
537,449926,Bernabé,100.0,45,MID
538,164484,Steffen,100.0,44,GKP
539,463034,Delap,100.0,43,FWD
552,244851,Palmer,100.0,44,MID
556,171314,Dias,100.0,61,DEF
595,432720,Trafford,100.0,40,GKP
608,17601,Carson,100.0,39,GKP
609,219265,Nmecha,100.0,45,MID
622,439510,Mbete,100.0,40,DEF
623,245719,Harwood-Bellis,0.0,40,DEF
659,219291,Gomes,100.0,45,MID
289,42899,Romero,0.0,49,GKP
290,43670,Mata,0.0,58,MID
291,51940,de Gea,0.0,53,GKP
292,55909,Smalling,0.0,49,DEF
293,58498,Ighalo,0.0,61,FWD
294,58893,Rojo,0.0,48,DEF
295,62398,Matic,100.0,47,MID
296,74208,Pogba,25.0,76,MID
297,76359,Jones,0.0,48,DEF
298,95658,Maguire,100.0,55,DEF
299,101582,Fred,100.0,53,MID
300,106760,Shaw,100.0,51,DEF
302,141746,Fernandes,100.0,115,MID
303,148225,Martial,100.0,86,FWD
304,156689,Pereira,0.0,48,MID
305,172649,Henderson,100.0,52,GKP
306,176297,Rashford,75.0,96,MID
307,180804,Tuanzebe,100.0,42,DEF
308,184667,Lindelöf,100.0,48,DEF
309,195851,McTominay,100.0,49,MID
310,197365,Bailly,100.0,48,DEF
311,200617,James,100.0,62,MID
312,201084,Fosu-Mensah,0.0,43,DEF
313,214590,Wan-Bissaka,100.0,56,DEF
314,216051,Dalot,0.0,48,DEF
315,220688,Greenwood,100.0,70,MID
316,222677,Chong,0.0,44,MID
317,232928,Garner,0.0,44,MID
318,232937,Williams,100.0,42,DEF
319,244856,Mengi,0.0,39,DEF
495,180184,van de Beek,75.0,66,MID
568,152590,Telles,100.0,54,DEF
569,40720,Cavani,75.0,79,FWD
575,488404,Pellistri,0.0,52,MID
604,6744,Grant,100.0,40,GKP
640,493250,Diallo,100.0,54,MID
673,472464,Shoretire,100.0,45,MID
20,200089,Willock,100.0,47,MID
320,40142,Carroll,100.0,51,FWD
321,50232,Shelvey,100.0,53,MID
322,56983,Ritchie,100.0,49,MID
323,57145,Fernández,100.0,47,DEF
324,58845,Clark,100.0,45,DEF
